omrrts,Customer_#,Order_Date,Product_#,Quantity,Unit_Price,Total_Cost,Order_Category
101,10127,9/23/2015,Product 8,23, 8.00 , 184.00 ,Large Order
102,10041,11/10/2015,Product 1,6, 18.00 , 108.00 ,Normal Order
103,10044,3/29/2010,Product 10,19, 13.00 , 247.00 ,Large Order
104,10125,6/2/2014,Product 6,29, 4.00 , 116.00 ,Large Order
105,10034,10/21/2011,Product 6,30, 4.00 , 120.00 ,Large Order
106,10054,8/24/2013,Product 5,30, 12.00 , 360.00 ,Large Order
107,10075,3/2/2012,Product 3,24, 12.00 , 288.00 ,Large Order
108,10123,10/1/2011,Product 7,16, 9.00 , 144.00 ,Large Order
109,10036,11/28/2013,Product 3,13, 12.00 , 156.00 ,Normal Order
110,10017,8/29/2015,Product 7,17, 9.00 , 153.00 ,Large Order
111,10041,12/8/2015,Product 2,7, 12.00 , 84.00 ,Normal Order
112,10051,7/5/2010,Product 5,22, 12.00 , 264.00 ,Large Order
113,10057,1/31/2012,Product 3,25, 12.00 , 300.00 ,Large Order
114,10113,12/1/2011,Product 1,29, 18.00 , 522.00 ,Large Order
115,10123,8/6/2013,Product 6,17, 4.00 , 68.00 ,Large Order
116,10104,11/29/2015,Product 9,29, 2.00 , 58.00 ,Large Order
117,10083,1/17/2015,Product 8,1, 8.00 , 8.00 ,Small Order
118,10050,3/25/2010,Product 3,2, 12.00 , 24.00 ,Small Order
119,10063,11/2/2015,Product 5,25, 12.00 , 300.00 ,Large Order
120,10040,11/20/2013,Product 7,23, 9.00 , 207.00 ,Large Order
121,10017,11/15/2014,Product 4,19, 2.00 , 38.00 ,Large Order
122,10078,8/26/2010,Product 4,18, 2.00 , 36.00 ,Large Order
123,10028,10/8/2010,Product 2,20, 12.00 , 240.00 ,Large Order
124,10047,4/26/2013,Product 1,17, 18.00 , 306.00 ,Large Order
125,10076,3/23/2015,Product 8,18, 8.00 , 144.00 ,Large Order
126,10102,5/1/2013,Product 6,28, 4.00 , 112.00 ,Large Order
127,10033,6/9/2014,Product 3,23, 12.00 , 276.00 ,Large Order
128,10102,6/3/2010,Product 2,18, 12.00 , 216.00 ,Large Order
129,10131,2/20/2012,Product 2,30, 12.00 , 360.00 ,Large Order
130,10022,2/24/2012,Product 7,8, 9.00 , 72.00 ,Normal Order
131,10140,9/15/2011,Product 3,16, 12.00 , 192.00 ,Large Order
132,10143,12/23/2010,Product 1,1, 18.00 , 18.00 ,Small Order
133,10133,8/28/2013,Product 10,18, 13.00 , 234.00 ,Large Order
134,10127,2/5/2014,Product 7,26, 9.00 , 234.00 ,Large Order
135,10090,6/16/2013,Product 1,25, 18.00 , 450.00 ,Large Order
136,10036,10/1/2013,Product 7,13, 9.00 , 117.00 ,Normal Order
137,10054,6/4/2012,Product 9,5, 2.00 , 10.00 ,Small Order
